,,,Min_Tensile,Min_Yield,40,65,100,125,150,200,250,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900
MATERIAL,P-No.,Group No.,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa
SA–203-A, 9A ,1,450,255,128,128,128,128,128,128,128,128,126,120,112,95.1,79.6,64.8,49.1,35.8,23.7,11.1, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–203-B, 9A ,1,485,275,138,138,138,138,138,138,138,138,136,129,122,101,83.8,67.3,49.4,35.6,23.7,11.1, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–203-D, 9B ,1,450,255,128,128,128,128,128,128,128,128,126,120,112,95.1,79.6,64.8,49.1,35.8,23.7,11.1, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–203-E, 9B ,1,485,275,138,138,138,138,138, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–203-E, 9B ,1,485,275,138,138,138,138,138,138,138,138,136,129,122,101,83.8,67.3,49.4,35.6,23.7,11.1, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–203-F (>50), 9B ,1,515,345,148,148,148,148,148,148,148,148,146,140, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–203-F (≤50), 9B ,1,550,380,158,158,158,158,158,158,158,158,152,137, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–204-A,3,1,450,255,128,128,128,128,128,128,128,128,128,128,128,128,127,124,105,68.9,42.8,23.2, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–204-B,3,2,485,275,138,138,138,138,138,138,138,138,138,138,138,138,137,134,107,68.1,43.1,23.1, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–204-C,3,2,515,295,148,148,148,148,148,148,148,148,148,148,148,148,148,144,109,67.2,43.3,23, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-304,8,1,515,205,138,126,113,107,103,95.7,89.9,85.9,84.1,82.2,80.5,79.2,77.3,76,74.8,73.6,72.4,70.8,68.9,65.4,51.4,41.7,32.9,26.5,21.3,17.2,13.9,11.1,8.73, … , … , … 
SA–240-304 (G5),8,1,515,205,138,138,137,134,130,126,122,116,114,111,109,107,105,103,101,99.3,98,93.3,79.6,65.4,51.4,41.7,32.9,26.5,21.3,17.2,13.9,11.1,8.73, … , … , … 
SA–240-304H,8,1,515,205,138,126,113,107,103,95.7,89.9,85.9,84.1,82.2,80.5,79.2,77.3,76,74.8,73.6,72.4,70.8,68.9,65.4,51.4,41.7,32.9,26.5,21.3,17.2,13.9,11.1,8.73, … , … , … 
